,title,content
10, زن – دکتر علی شریعتی, کتاب زن از دکتر شریعتی که به دست دکتر شریعتی نوشته شده است. در اجتماع و فرهنگ اسلامی سه صورت از زن داشته ایم که به یکی زن سنتی و مقدس مأب و یکی صورت زن متجدد و اروپایی مأب که تازه آغاز به رشد و زیاد شدن کرده می باشد و یکی هم صورت فاطمه علیه سلام و زنان فاطمه مانند که هیچ شبیه و وجه مشترکی با چهره ای به اسم زن سنتی نداشته اند. سیمایی که از زن سنتی در تفکر و اندیشه افراد با وفا به مذهب در اجتماع ما تصویر شده است با کمالات فاطمه ع همان اندازه دور و بیگانه ی باشد که چهره زن مدرن.این زن سوم زنی می باشد که خواهان انتخاب است و زنی است که نه صورت و ظاهر موروثی را پزیرفته است و نه چهره تحمیلی صادراتی پست ترین و پلیدترین دشمنان آدمی را.
11, برگ های تاریخ – دوران قاجاریه," میزرا حسین خان سپهسالار قزوینی فرزند میرزا نبی خان، متولد سال ۱۲۴۳ ه.ق، از زمامداران کاردار و تجددخواه و تحصیلکرده و باایمان دوران قاجاریه است. او در آغاز خدمت نماینده بازرگانی و سپس کنسول ایران در بمبئی بود. در سال ۱۲۷۱ ق به مقام سرکنسولی ایران در تفلیس و در سال ۱۲۷۵ به سمت وزیر مختار ایران در دربار عثمانی برگزیده شد و لقب مشیرالدوله گرفت و در سال ۱۲۸۵ به مقام سفارت کبری ارتقا یافت. او آبرومندترین سفیر ایران در دربار عثمانی بود و حیثیت سیاسی ایران و اتباع مقیم عثمانی را افزود.,درباره سپهسالار و تمایل او به سیاست انگلستان و کارهای وی در کتابهای مختلف مطلب ها نوشته شده و درباره او داوریهای گوناگون رفته است. برخی از تاریخ نویسان شایستگی و تجدد و وطن خواهی او را ستوده و به نیکی از وی یاد کرده اند، برخی دیگر او را از دوستان وفادار انگلیس ها دانسته و اتهاماتی نیز بر وی بسته اند ولی بدیهی است نقل قول بدخواهانه چند نویسنده ایرانی یا خارجی نمی تواند میزان داوری قطعی باشد.خاصه نسبت به کسی که درمیان زمامداران عصر قاجاریه شخصیتی ممتاز و جایگاهی برتر دارد و در کارهای او حرکت و جهش و روشنفکری دیده می شود…"
12, زوج درمانی, زوج درمانی چیست و چه جایگاهی دارد؟ اختلافات بین زوجین، امری طبیعی است؛ آنچه اهمیت دارد نحوه حل کردن مشکلات همچنین نحوه مشارکت و سازگاری زوجین در سختی های زندگی است. در برخی از موارد زوجین به دلایل محتلف مانند ناتوانی در گفت و شنود همدلانه، عدم ابراز صحیح هیجانات، نداشتن مهارتهای حل مسئله، قدرت طلبی، اشتباه در معیار های انتخاب همسر و… نمی توانند اختلافات زناشویی خود را به خوبی مدیریت و رفع کنند.
13, آموزش HTML برای فوق مبتدی‌ها, این امکان را به شما می‌دهد که ساختار اصلی یک صفحه اینترنتی را با استفاده از Tag (تگ)‌های مختلف طراحی کنید. اینکه تگ چیست را در این کتاب به خوبی یاد خواهید گرفت. نویسنده اسم این کتاب را “الفبای طراحی وب” گذاشته است، چون شما سراغ هر زمینه‌ای از طراحی وب سایت که بروید، باید HTML را حتماً بلد باشید. یادگیری HTML خیلی خیلی ساده است. فقط باید تمرین کنید. اطلاعات بیشتر راجع به کتاب و HTML را می‌توانید داخل کتاب پیدا کنید. نکته کلیدی و در واقع نقطه قوت کتاب این است که به زبانی ساده نوشته شده تا شما بتوانید سریع این زبان را یاد بگیرید.
14, افسردگی را بخوریم, همه‌ی ما گاهی اوقات احساس بدبختی، تنهایی، خستگی و ناراحتی می‌کنیم. این احساسات معمولاً بیش از یک یا دو هفته دوام نمی‌آورند و آن‌چنان در روند زندگی ما تداخل ایجاد نمی‌کنند. گاهی اوقات دلیل خاصی برای آن وجود دارد، گاهی هم فقط از غم و اندوه ناشی می‌شود. ما خودمان معمولاً از پس آن‌ها برمی‌آییم و نیازی به کمک گرفتن از دیگران نداریم اما گاهی این مسئله به مشکلی جدی در زندگی ما تبدیل می‌شود که روند زندگی عادی ما را با اختلال روبرو می‌کند و نیاز به پیگیری و درمان دارد.  امروزه افسردگی یکی از شایع‌ترین بیماری‌های روانی در جهان محسوب می‌شود. به نقل از سازمان بهداشت جهانی ۵ درصد جمعیت کل جهان از بیماری افسردگی رنج می‌برند. آمارها در ایران حاکی از شیوع روزافزون افسردگی در کشور است. شاید بتوان گفت، بیش از ۲۰ درصد مردم ایران افسرده هستند.
15, امثال فارسی – انگلیسی, سلیمان حَییم فرهنگ‌ نویس، مترجم، نویسنده و شاعر ایرانی بود. او که پدر فرهنگ ‌نویسی دوزبانه ایران شناخته می شود، فرانسه، عبری و احتمالاً عربی را نیز به خوبی می دانست. کتاب حاضر یکی از آثار برجسته او به شمار می‌آید. ضرب المثل با حکمت نهفته در آن، نماینده فولکلور و عقاید و رسوم یک ملت است و در زبان آن ملت نفوذ فراوانی دارد. حییم در تدوین کتاب پیش رو که شامل متداول ترین ضرب المثلها، اصطلاحات و تعابیر فارسی به انضمام داستانهای معرفی منشاء این امثال است، در تلاش برای آشنایی مخاطبان با بخشی از زبان های فارسی و انگلیسی است. مقایسه مثلهای این دو زبان اشتراکات فکری و تشابهات لفظی آن ها را نشان می دهد که مطالعه آن خالی از لطف نمی باشد. این کتاب در سال ۱۳۳۴ توسط کتابفروشی یهودابروخیم در اختیار پژوهشگران و علاقمندان قرار گرفت.
16, تاریخ سلطانی – از شیخ صفی تا شاه صفی," کتاب حاضر که حوادث دوران بین زندگانى شیخ صفى الدین اردبیلى تا پایان حکمرانى شاه صفى را در بر مى‌گیرد، در واقع بخش سوم از کتابى است در تاریخ عمومى موسوم به «تاریخ سلطانى» اثر سید حسن بن مرتضى حسینى استرآبادى که در روزگار شاه سلطان حسین صفوى ( ١١٠۶ - ١١٣۵ ) مى‌زیسته و در سال  ١١١۵  هجرى قمرى این کتاب را بنام او تصنیف کرده است. در بیان موضوع کتاب و انگیزۀ تألیف آن نویسنده در دیباچه چنین آورده است: «سبب تألیف این کتاب صریح شریف و خطاب فصیح منیف که قوى‌ئیل سال ترکى مصادف هزار و یک‌صد و پانزده هجرى، سال دهم جلوس میمنت مأنوس نوّاب کامیاب سپهر رکاب نقاوۀ مصطفوى، تازه‌نهال بوستان مرتضوى، خلاصۀ سلاطین صفوى. . .,بعضى از دوستان تکلیف نمودند که به انضمام تشخیص احوال ملایکه و شیاطین و حکومت بنى الجان و کیفیت آفرینش عالم تا حضرت خاتم صلى الله علیه و آله و سایر فواید مرقومه به عنوان کتاب در تحت هر باب به بیاض برده شود. لهذا به قلم تحریر درآورده، منظور نظر دوستان گردید و به «تاریخ سلطانى» موسوم شده مشتمل بر سه باب که در صفحۀ روزگار به یادگار باقى مانده و متوقع است که اگر سهوى یا ترکى واقع شده باشد به قلم اصلاح در آورده و این کمینه را به دعا و فاتحه یاد نمایند….,باب سیم-در بیان انساب سلاطین صفیۀ صفویه ادام اللّه اقبالهم الى یوم القیام تا زمان نواب خاقان رضوان مکان شاه صفى نوّر اللّه مرقده و مراقد آبائه العظام.» بنا بر مقدمۀ بالا، باب سوم این اثر که موضوع کتاب حاضر را تشکیل مى‌دهد شامل شرح حال نیاکان شاه اسماعیل و رویدادهاى دوران وى و شاه طهماسب و اسماعیل دوم و شاه خدابنده و شاه عباس و شاه صفى است.,مؤلف در دیباچۀ اثر خود اشاره مى‌کند که از این کتابها به قدر مقدور استفاده کرده و مطالب را بر سبیل اجمال و اختصار آورده است. در واقع عرضۀ مطالبى به این تفصیل و گستردگى به نحوى خلاصه و فشرده، همراه با نقل قولها و ذکر مآخذ و منابع یکى از محسنات تاریخ سلطانى است. امتیاز دیگر این کتاب در اینست که مؤلف در بیان مطالب از بکار بردن عبارات پیچیده و متکلف که شیوۀ نگارش اغلب مصنفین و تاریخ‌نویسان عهد صفوى است پرهیز کرده و کتاب خود را با عباراتى ساده و در خور فهم خوانندۀ روزگار خود عرضه کرده است و در عین حال از آوردن اشعار مفصل و عارى از لطف ادبى که متون تاریخى آن زمان مشحون از آنهاست بجز مواردى بسیار اندک خوددارى ورزیده است., "
17, جهان بینی و ایدئولوژی," جهان بینی و ایدئولوژی جلد ۲۳ از مجلد آثار مرحوم دکتر علی شریعتی است. که در آن به معناهای فلسفی و جامعه شناسی جهانبینی و ایدئولوژی از دید متفکرین گوناگون می پردازد و سپس تفسیر خود را از این پدیده ها بیان می کند.,فهرست مطالب :,ﺟﻬﺎن ﺑﯿﻨﯽ,ﺗﻮﺣﯿﺪ و ﺷﺮک,ایدئولوژی ۱,ایدئولوژی ۲,ایدئولوژی ۳,ایدئولوژی ۴,ایدئولوژی ۵,پرسش و پاسخ,شفاعت تابویی و شفاعت ایدئولوژیک,هجرت و تمدن"
18, دیوید کاپرفیلد, دیوید کاپرفیلد ، نام رمانی نوشتهٔ چارلز دیکنز نویسندهٔ انگلیسی و نیز نام شخصیت اصلی همین داستان است. این کتاب برای نخستین بار در سال ۱۸۵۰ میلادی منتشر شد. دیکنز آن را از سایر کتاب‌های خود برتر می‌دانست شاید از این رو که حوادث هیجان‌انگیز و بسیاری از عناصر داستان برگرفته از رخدادهای زندگی خود او است و می‌توان گفت بیش از دیگر رمانهای او، قالب اتوبیوگرافی دارد. شخصیت اصلی این داستان، دیوید کاپرفیلد، کودک مورد علاقه خود دیکنز نیز می‌باشد. «دیوید کاپرفیلد» به دوران پختگی و کمال هنری دیکنز تعلق دارد. حجم انتقاد صریح اجتماعی در این رمان کمتر از نوشته‌های دیگر او است. در این‌جا توجه نویسنده بیشتر به ماجراهای خانگی و روحانی است تا بیدادهای اجتماعی. هرچند با توجه به زندگی خود نویسنده، همچنان در این رمان به مسائل روانشناختی از دید اجتماعی آشکارا توجه شده‌است. خفت‌های شخصیت «پیپ» در این رمان، فرازجویی‌هایش، بزرگ منشی‌های به خود بسته‌اش و نیز ترقی و تنزلش همه نمادهای اجتماعی قابل شناخت‌اند.
19, آموزش جامع شیرپوینت, شما برای سازمان خود نیاز به نرم افزاری دارید که بتواند مدیریت کند بر روی منابع انسانی، اسناد و مدارک، به اشتراک گذاری فایل‌ها، … و بتواند آرشیو سازی اطلاعات را به خوبی و با اطمینان کامل انجام دهد. حفظ امنیت کاربران از مباحث بسیار مهم در سازمان شما است که نرم افزاری که به کار می برید باید توانایی این کار را داشته باشد. باید نرم افزاری انتخاب کنید که جستجوی بسیار قوی و پیشرفته ای داشته باشد و بتواند حتی به داخل فایل ها نفوذ کند و کلمه مورد نظر شما را پیدا کند. همه این کارها مایکروسافت را بر آن داشت که برای اولین بار نرم افزار Share Point را در سال ۲۰۰١ ایجاد و معرفی کند که زیاد هم نتوانست بین نرم افزار‌های مدیریت محتوا جا باز کند. بعد از آن مایکروسافت با سرمایه گدازی زیاد در سال‌های ۲۰۰۳، ۲۰۰۷، ۲۰١۰، ۲۰١۳ نسخه‌های مختلف آن را با ویژگی‌های مختلف وارد بازار کرد که در حال حاضر جزء اولین نرم افزارهای مدیریت محتوا می‌باشد، در نسخه ۳ ۲۰١ این نرم افزار تغییرات گسترده‌ای به نسبت نسخه ۲۰۰۷ مشاهده می‌شود، که با هم در این کتاب به آن خواهیم پرداخت.
20, تاریخ نظامی ایران – جنگهای دوره اشکانی, پادشاهان اشکانی از نژاد پارتی به شمار می رفتند. پارت ناحیه ای بود که در خراسان کنونی قرار داشت. گویند که نام این قوم ماخوذ از اسم قبیله پارنی است که تیره ای از قوم سکایی داهه به شمار می آمدند و در بیابانهای بین رود جیحون و دریای خزر در ییلاق و قشلاق بودند و مسکن اصلی آنان در استپهای میان گرگان و دریای آرال بود. مردم پارنی شاید بیشتاز قبیله های بودند که بخش های آباد پارت را در تصرف گرفتند در زبان ارمنی قدیم، و قسمتهای پارتی مانوی بعضی از کلمات آن زبان را از ریشه پارنی دانسته اند که توسط آن قوم به زبان پارتی راه یافته اند. پارنی ها حتی پس از تصرف پارت عادت چادرنشینی و شبانی خاص سکایی را نگاه داشتند. پارنی ها مردمی سوارکار و دلیر بودند و چون از آزادگان به شمار می رفتند، پیاده رفتن را دون شان خود می دانستند و همواره اسبی زیر ران خود داشتند. تیر و کمان سلاح ملی آنان بود. خصوصیت جنگی ایشان در جنگ و گریز حیله گرانه بود. سوار پارتی در حین گریز ناگهان به عقب بازمیگشت و به دشمن تیر می انداخت، پس از مدت کوتاهی بار دیگر، حمله را آغاز می کرد. از مجموع نوشته های مورخان قدیم، چنین نتیجه گرفته می شود که پارتی ها از آریاهای ایرانی بودند…
21, مبانی الکتریسیته, پیمانه مبانی الکتریسیته از جمله پیمانه هایی است که در تمام مهارت های برق وجود دارد، اما از نظر سرفصل تعریف شده در استانداردها، با یکدیگر تفاوت هایی دارد. جدول زیر ساعات این پیمانه در مهارت های گوناگون را نشان می دهد. به همین دلیل تصمیم  هایی بر آن شد که کتابی با بیش ترین زمان و سرفصل درسی مشترک تهیه شود که پس از تأمین نظرات کمیسیون تخصصی رشته برق این امر محقق شد. به این ترتیب کلیه رشته های مندرج در جدول می توانند از این کتاب برای آموزش مبانی الکتریسیته استفاده کنند. در این شرایط لازم است هنرآموزان و مربیان محترم با توجه به این محتوی و تعداد ساعات رشته و استاندارد مهارتی، قسمت هایی از کتاب که استاندارد را پوشش می دهد انتخاب کرده و آموزش دهند. یادآور می شود ارزشیابی پایانی می بایست با توجه به استاندارد مهارتی که آموزش داده شده است انجام پذیرد. روند کار نگارش این کتاب بدین صورت بود که پس از تهیه جداول پیمانه ها مؤلف موظف شد یک فصل را مطابق استاندارد
22, مطالب جالب درباره عجایب علوم غریبه, در بسیاری از کشورها و فرهنگ‌ها جن‌گیرها یا احضارکنندگان ارواح بسیاری وجود دارد که حضور این امر می‌تواند ادعا یا احتمالی برای وجود جن و جنیان باشد. در کتاب مقدس مسلمانان آمده که جنیان از آتش آفریده شده‌اند، آفرینش آن‌ها به قبل از آفرینش انسان بازمی‌گردد، مذکر و مونث دارند، دارای تمایلات انسانی هستند و تعداد آن‌ها بیش از انسان‌ها است و مانند انسان می‌میرند. از آنجا که نوع خلقت جنیان با انسان‌ها متفاوت است، مکان و نحوه زندگی و ویژگی‌های آن‌ها نیز با انسان‌ها تفاوت بسیاری دارد. به طور کلی، جن نام دسته‌ای از موجودات فراطبیعی است که بسیاری از ادیان الهی نیز به وجود آن اشاره کرده‌اند و علم نیز در تلاش کشف اطلاعات بیشتر راجع‌به آن است.
23, آموزش طراحی سایت از ۰ تا ۱۰۰, در آغاز، وب سایت‌ها با کُدهای ساده HTML نوشته می‌شدند، گونه‌ای از زبان نشانه‌گذاری که ساختار ساده‌ای به وب گاه‌ها می‌داد، شامل سرتیتر و پاراگراف، و توانایی پیوند دادن به آدرس‌های دیگر از طریق ابرپیوند. در مقایسه با روش‌های دیگر، این راه تازه و متفاوتی بود که کاربران به سادگی می‌توانستند با یک مرورگر، صفحه‌های پیوند خورده را باز کنند. با پیشرفت وب و هنر طراحی آن، زبان کُدنویسی اش، اَبَرمتن یا اچ تی ام‌ال، پیچیده‌تر و پرانعطاف تر شد. ابزاری مانند جدول‌ها که بیشتر برای نمایش نمودارهای داده‌ای بودند، بزودی مورد استفاده نادرست، برای چیدمان‌های پنهان در صفحه‌های وب قرار گرفتند. با پیدایش الگوهای آبشاری وب یا «CSS»، روش نادرست طراحی با جدول‌های پنهان در صفحه از گردونه خارج، و به جای آن استفاده مناسب از زبان کمکی «CSS» جایگزین شد.
24, طراحی آسان صفحات وب با دروپال, کتاب طراحی آسان وب با دروپال نوشته‌ی رضا سروری، به آموزش نرم‌افزاری رایگان و کد باز به زبان پی اچ پی برای مدیریت محتوا، توسعه‌ی برنامه‌های کاربردی مبتنی بر وب و ایجاد بلاگ می‌پردازد که تحت مجوز جی پی ال منتشر شده است. از این برنامه برای مدیریت محتوای بیش از ۱ درصد از صفحات وب استفاده شده است. از این سیستم مدیریت محتوا از وبلاگ‌های شخصی تا شرکت‌های تجاری، سیاسی و حتی دولت‌ها نیز استفاده شده است. بسیاری از وب سایت‌ها باید به مدیریت تاریخ وقایع مختلف بپردازند. این وب سایت‌ها که متعلق به سازمان‌های دولتی و غیردولتی هستند باید به تعقیب وقایعی چون گردهمایی‌ها و همایش‌ها بپردازند. البته برخی از آن‌ها نیز متعلق به جوامعی هستند که اخباری خاص را از منابع مختلف پی گیری می‌کنند. البته مدیریت وقایع و تقویم‌ها کار دشواری است و برای انجام این کار ابزارهای مختلفی پیش بینی شده که هر کدام محدودیت‌هایی دارند. دروپال با استفاده از ساختار منسجم سیستم، ماژول CCK ،View و ماژول مشارکتی Date، از روش‌های پیچیده‌ای برای مدیریت تقویم و وقایع استفاده می‌کند تا همه انتظارات از یک تقویم وقایع در وب سایت‌ها تامین ش
